ano;uf;dt_referencia;dt_geracao;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
2024;PA;2025-11-30;2025-12-12;0;28;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;PB;2025-11-30;2025-12-12;1056;1162;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;PE;2025-11-30;2025-12-12;899;2209;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;PI;2025-11-30;2025-12-12;959;1844;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;PR;2025-11-30;2025-12-12;289;652;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;RJ;2025-11-30;2025-12-12;10;293;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;RN;2025-11-30;2025-12-12;341;817;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;RO;2025-11-30;2025-12-12;305;434;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;RS;2025-11-30;2025-12-12;41;175;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;SC;2025-11-30;2025-12-12;299;700;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;SE;2025-11-30;2025-12-12;930;1373;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;SP;2025-11-30;2025-12-12;294;345;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2024;TO;2025-11-30;2025-12-12;308;459;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx
2025;AL;2025_12;20260114;108;890;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;AM;2025_12;20260114;1;342;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;AP;2025_12;20260114;876;984;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;BA;2025_12;20260114;510;2843;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;CE;2025_12;20260114;101;1014;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;DF;2025_12;20260114;65;363;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;ES;2025_12;20260114;286;489;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;GO;2025_12;20260114;19;1899;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;MA;2025_12;20260114;276;706;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;MG;2025_12;20260114;1025;1990;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;MS;2025_12;20260114;233;1024;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;MT;2025_12;20260114;4;304;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;PA;2025_12;20260114;4546;4471;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;PB;2025_12;20260114;49;798;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;PE;2025_12;20260114;212;1084;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;PI;2025_12;20260114;64;796;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;PR;2025_12;20260114;20;278;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;RN;2025_12;20260114;386;940;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;RO;2025_12;20260114;2;281;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;RS;2025_12;20260114;1091;1048;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;SC;2025_12;20260114;118;422;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;SE;2025_12;20260114;255;950;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;SP;2025_12;20260114;442;734;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2025;TO;2025_12;20260114;0;248;ater_ate_2025_12_gerado_em_20260114105014.xlsx
2026;AL;2026_03;20260410;143;146;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;AM;2026_03;20260410;0;130;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;AP;2026_03;20260410;396;714;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;BA;2026_03;20260410;141;646;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;CE;2026_03;20260410;1;415;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;DF;2026_03;20260410;287;350;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;ES;2026_03;20260410;120;355;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;GO;2026_03;20260410;322;625;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;MA;2026_03;20260410;269;525;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;MG;2026_03;20260410;580;1530;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;MS;2026_03;20260410;173;402;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;MT;2026_03;20260410;475;475;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;PA;2026_03;20260410;44;4085;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;PB;2026_03;20260410;0;143;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;PE;2026_03;20260410;0;268;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;PI;2026_03;20260410;349;520;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;PR;2026_03;20260410;422;495;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;RN;2026_03;20260410;363;683;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;RO;2026_03;20260410;0;187;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;RS;2026_03;20260410;259;1276;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;SC;2026_03;20260410;563;678;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;SE;2026_03;20260410;0;648;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;SP;2026_03;20260410;878;1311;ater_ate_2026_03_gerado_em_20260410151127.xlsx
2026;TO;2026_03;20260410;0;248;ater_ate_2026_03_gerado_em_20260410151127.xlsx
