politica;ano;uf;codigo_ibge;nome_uf;indicador;valor;formato;dt_referencia;dt_geracao;arquivo_origem
PRONAF;2017;BA;29;Bahia;Contratos;228191.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;BA;29;Bahia;Valor total dos contratos;851091029.51;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;BA;29;Bahia;Operacoes;228191.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;CE;23;Ceará;Contratos;125600.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;CE;23;Ceará;Valor total dos contratos;442738356.34;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;CE;23;Ceará;Operacoes;125600.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;DF;53;Distrito Federal;Contratos;97.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;DF;53;Distrito Federal;Valor total dos contratos;4480920.76;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;DF;53;Distrito Federal;Operacoes;97.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;ES;32;Espírito Santo;Contratos;21499.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;ES;32;Espírito Santo;Valor total dos contratos;675148931.49;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;ES;32;Espírito Santo;Operacoes;21499.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;GO;52;Goiás;Contratos;16066.0;inteiro;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
PRONAF;2017;GO;52;Goiás;Valor total dos contratos;564631065.28;moeda;2017_12;2026_04_29;pronaf_gaia_historico_anual_2017.xlsx
